release_year,track_name,playlist_subgenre,track_popularity
2004,American Idiot,permanent wave,78.0
2004,American Idiot,post-teen pop,78.0
2004,Let Me Love You,new jack swing,77.0
2004,Let Me Love You,urban contemporary,77.0
2004,Mr. Brightside,permanent wave,77.0
2004,My Boo,hip pop,77.0
2005,Fix You,electropop,81.0
2005,Feel Good Inc.,album rock,80.0
2005,Feel Good Inc.,permanent wave,80.0
2005,Hey There Delilah,post-teen pop,80.0
2005,Hips Don't Lie (feat. Wyclef Jean),latin hip hop,80.0
2005,Hips Don't Lie (feat. Wyclef Jean),post-teen pop,80.0
2005,Bad Day,album rock,76.0
2005,Bad Day,post-teen pop,76.0
2005,You're Beautiful,album rock,76.0
2005,B.Y.O.B.,hard rock,75.0
2006,Snow (Hey Oh),permanent wave,79.0
2006,Welcome to the Black Parade,album rock,78.0
2006,Welcome to the Black Parade,permanent wave,78.0
2006,Chasing Cars,permanent wave,77.0
2006,So Sick,hip pop,77.0
2006,So Sick,pop edm,77.0
2006,Teenagers,permanent wave,77.0
2006,Dani California,permanent wave,76.0
2006,Crazy,album rock,75.0
2006,Put Your Records On,neo soul,75.0
2007,No One,pop edm,79.0
2007,Beautiful Girls,post-teen pop,77.0
2007,Bleeding Love,pop edm,77.0
2007,Bleeding Love,post-teen pop,77.0
2007,Electric Feel,electropop,77.0
2007,Electric Feel,indie poptimism,77.0
2007,Electric Feel,permanent wave,77.0
2007,Buy U a Drank (Shawty Snappin'),hip hop,76.0
2007,Crank That (Soulja Boy),hip hop,76.0
2007,Kids,indie poptimism,76.0
2008,I'm Yours,indie poptimism,82.0
2008,I'm Yours,latin hip hop,82.0
2008,Low (feat. T-Pain),post-teen pop,79.0
2008,Low (feat. T-Pain),southern hip hop,79.0
2008,Viva La Vida,electropop,78.0
2008,Viva La Vida,permanent wave,78.0
2008,Viva La Vida,post-teen pop,78.0
2008,Halo,dance pop,77.0
2008,Halo,urban contemporary,77.0
2008,"You're Gonna Go Far, Kid",permanent wave,77.0
2009,Bad Romance,latin hip hop,78.0
2009,Fireflies,latin hip hop,78.0
2009,Fireflies,post-teen pop,78.0
